,sum_sq,df,F,PR(>F),pct_variance
C(Origin),3575.4501826298906,2.0,1343.0643858788965,0.0,9.11
C(Lang),3451.1720779221096,1.0,2592.7623491526388,0.0,8.79
C(Framing),52.780032467535804,1.0,39.652059613113614,3.0990747484195364e-10,0.13
C(Topic),3609.315848214347,6.0,451.92850555109703,0.0,9.2
C(Origin):C(Lang),198.7321631493527,2.0,74.65076480474039,5.0344332808360066e-33,0.51
C(Origin):C(Framing),153.6148336038945,2.0,57.703114745777434,1.0305081974774064e-25,0.39
C(Lang):C(Topic),972.122666396106,6.0,121.72111344982221,1.1975832027851323e-151,2.48
C(Origin):C(Topic),1034.241294642859,12.0,64.74954566506274,2.0579189470681647e-155,2.64
Residual,26194.307913961045,19679.0,,,66.75
